host_is_superhost,host is superhost and cancellation policy,cancellation_policy,beach essentials vs family/kid friendly,first aid kit,host listings count vs cancellation policy,host_total_listings_count,host_listings_count,host listings count and pets allowed,pets allowed,pets allowed to host listings count,instant_bookable,beach essentials,property_type
0,0,3,0,1,3.0,6.0,6.0,0.0,0,0.0,1,0,23
1,1,1,0,1,3.0,4.0,4.0,4.0,1,0.2,0,0,1
1,1,1,0,1,3.0,4.0,4.0,0.0,0,0.0,1,0,23
0,0,1,0,0,0.0,1.0,1.0,0.0,0,0.0,0,0,20
1,3,3,1,1,1.0,4.0,4.0,0.0,0,0.0,1,1,14
0,0,0,0,0,0.0,0.0,0.0,0.0,1,1.0,1,0,1
0,0,3,0,0,0.0,3.0,3.0,0.0,0,0.0,0,0,1
0,0,1,0,0,18.0,19.0,19.0,19.0,1,0.05,0,0,14
0,0,0,-1,0,2.0,2.0,2.0,0.0,0,0.0,0,0,1
0,0,3,0,0,-1.0,2.0,2.0,0.0,0,0.0,0,0,1
0,0,1,-1,0,16.0,17.0,17.0,17.0,1,0.05555555555555555,1,0,25
0,0,3,0,0,-2.0,1.0,1.0,0.0,0,0.0,1,0,1
0,0,3,1,1,66.0,69.0,69.0,69.0,1,0.014285714285714285,0,1,23
1,3,3,1,1,-2.0,1.0,1.0,0.0,0,0.0,1,1,5
0,0,1,0,0,3.0,4.0,4.0,0.0,0,0.0,0,0,23
1,1,1,0,1,0.0,1.0,1.0,0.0,0,0.0,1,0,23
1,1,1,0,0,0.0,1.0,1.0,1.0,1,0.5,1,0,1
0,0,3,-1,0,6.0,9.0,9.0,0.0,0,0.0,0,0,1
0,0,3,0,0,-2.0,1.0,1.0,0.0,0,0.0,0,0,14
1,1,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,0,23
1,0,0,0,0,11.0,11.0,11.0,0.0,0,0.0,1,0,1
1,1,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,0,23
0,0,3,0,0,-2.0,1.0,1.0,0.0,0,0.0,1,0,14
1,1,1,-1,1,19.0,20.0,20.0,0.0,0,0.0,1,0,15
1,0,0,0,1,5.0,5.0,5.0,0.0,0,0.0,1,0,23
1,3,3,0,1,-2.0,1.0,1.0,0.0,0,0.0,0,0,14
0,0,3,0,0,-2.0,1.0,1.0,0.0,0,0.0,0,0,27
1,1,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,1,19
